QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;Implementação e avaliação de currículos, programas educacionais e projetos político-pedagógicos;;True
10;Planejamento, avaliação do ensino, da aprendizagem e do sistema educacional;;;True
11;Alfabetização e letramento;Políticas de Infância e Linguagens expressivas na infância;;False
12;Políticas, organização e financiamento da educação brasileira;;;False
13;Psicologia da Educação;Conteúdos e metodologias específicas do ensino;;True
14;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
15;Filosofia da Educação;Teorias pedagógicas;;True
16;Alfabetização e letramento;;;True
17;Alfabetização e letramento;Políticas de Infância e Linguagens expressivas na infância;;True
18;Teorias e práticas de currículo;;;False
19;Didática e competência;Tecnologias da comunicação e informação nas práticas educativas;;True
20;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
21;Trabalho e Educação;;;True
22;Implementação e avaliação de currículos, programas educacionais e projetos político-pedagógicos;;;True
23;Sociologia da Educação;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
24;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
25;Antropologia da Educação;;;True
26;Alfabetização e letramento;;;True
27;Filosofia da Educação;História da Educação;;False
28;Teorias pedagógicas;;;True
29;Tecnologias da comunicação e informação nas práticas educativas;;;True
30;Antropologia da Educação;Diferença, Diversidade, Educação especial e inclusiva;;True
31;Diferença, Diversidade, Educação especial e inclusiva;Políticas e práticas de articulação escola-comunidade e movimentos sociais;;True
32;Teorias pedagógicas;;;True
33;Cultura Surda e Libras;;;True
34;Planejamento, organização e gestão democrática educacional em espaço escolar e não escolar;;;True
35;Tecnologias da comunicação e informação nas práticas educativas;;;True
